title,locations
jonson-catiline-his-conspiracy,"['Thebes', 'Rome', 'Athens', 'Asia', 'Spaine', 'Alpes']"
jonson-chloridia,[]
jonson-cynthia-s-revels,[]
jonson-epicoene-or-the-silent-woman-A04645,"['Iland', 'Virginia', 'Europe', 'Salisbury', 'Madame', 'England', 'States', 'London', 'Ireland', 'South']"
jonson-every-man-in-his-humour,"['Venice', 'London', 'Europe', 'Naples', 'Italy', 'Toledo', 'Poland', 'Vienna']"
jonson-every-man-out-of-his-humour,[]
jonson-hymenaei,[]
jonson-love-s-triumph-through-callipolis,[]
jonson-neptune-s-triumph-for-the-return-of-albion,"['Iland', 'Island']"
jonson-poetaster,"['Parnassus', 'Aegypt', 'Italy', 'Rome']"
jonson-sejanus-his-fall,"['Iland', 'Rome', 'Rhodes']"
jonson-the-alchemist,"['France', 'States', 'London', 'Europe', 'Douer', 'Rome', 'Athens', 'Scotland', 'Holland', 'Egypt', 'Madrid', 'England', 'Amsterdam']"
jonson-the-case-is-altered,"['Venice', 'Verona', 'France', 'Ierusalem', 'Europe', 'Italy']"
jonson-the-characters-of-two-royal-masques,['Iland']
jonson-the-devil-is-an-ass,"['France', 'London', 'Finsbury', 'America', 'Italy', 'Spaine', 'England', 'St. Georges']"
jonson-the-entertainment-of-the-queen-and-prince-at-althorp,"['Sparta', 'Lorraine', 'France', 'Europe']"
jonson-the-fortunate-isles-and-their-union,"['Orient', 'Troy']"
jonson-the-new-inn,"['France', 'States', 'Europe', 'Rome', 'Sparta', 'Lancashire', 'Thrace', 'Troy', 'Spaine', 'Ireland', 'Madrid', 'England']"
jonson-the-staple-of-news,[]
jonson-volpone,"['Venice', 'France', 'London', 'Europe', 'Italy', 'Greece', 'England', 'Asia', 'Troy']"
killigrew-claricilla,"['Messina', 'States', 'Kingdom', 'Sicily', 'Rhodes']"
killigrew-the-conspiracy,[]
killigrew-the-parson-s-wedding,"['Alps', 'Kingdom', 'England', 'France', 'London', 'Italy', 'Paris', 'Westminster']"
killigrew-the-princess,[]
killigrew-the-prisoners,"['Island', 'Kingdom', 'Sardinia']"
kirke-the-seven-champions-of-christendom,"['Iland', 'France', 'City', 'London', 'Italy', 'Rome', 'Asia', 'Scotland', 'Ireland', 'Island', 'Almaine', 'Wales', 'Persia', 'Arabia', 'England', 'Spain', 'Orient', 'Normandy']"
knevet-rhodon-and-iris,"['Thessaly', 'Greece', 'Troy']"
kyd-soliman-and-perseda,"['Scotland', 'Iland', 'France', 'Ireland', 'Peleon', 'South', 'Persia', 'Asia', 'Rhodes', 'Troy', 'Turkey']"
kyd-the-spanish-tragedy,"['Paris', 'Lisbon', 'England', 'Spaine', 'Corsicke']"
kynaston-corona-minervae,[]
lodge-the-wounds-of-civil-war,[]
lower-the-phoenix-in-her-flames,"['Egypt', 'Arabia', 'Persia', 'Kingdom', 'Euphrates', 'Austria']"
lupton-all-for-money,[]
lyly-campaspe,"['Persia', 'Athens', 'Europa', 'Thebes']"
lyly-endymion,"['Thessaly', 'Alpes', 'Egypt', 'Arabia', 'Athens', 'Greece']"
lyly-gallathea,"['Arabia', 'Capricornus']"
lyly-love-s-metamorphosis,[]
lyly-midas,"['Iland', 'Thebes', 'Greece', 'Delphos']"
lyly-mother-bombie,[]
lyly-sappho-and-phao,"['Athens', 'Troy']"
lyly-the-woman-in-the-moon,['Europa']
machin-barkstead-marston-the-insatiate-countess,"['Venice', 'France', 'Italy', 'Europa', 'Troy', 'Alpes']"
markham-sampson-herod-and-antipater,"['Rome', 'Greece', 'Asia', 'Rhodes', 'Israel', 'Ierusalem', 'Bethlem', 'Arabia']"
marlowe-dr-faustus,"['Germany', 'Venice', 'Padua', 'Paris', 'Emden', 'Thebes', 'Europe', 'Affrica', 'Rhine', 'America', 'Naples', 'Rome', 'Greece', 'Troy']"
marlowe-edward-the-second,[]
marlowe-nashe-dido-queen-of-carthage,"['Thessaly', 'Paris', 'Egypt', 'Europe', 'Italy', 'Athens', 'Greece', 'Asia', 'Troy']"
marlowe-tamburlaine-1,[]
marlowe-the-jew-of-malta,"['Venice', 'Iland', 'Florence', 'France', 'London', 'Italy', 'Greece', 'Rhodes', 'Alpes', 'Israel', 'Padua', 'Ierusalem', 'Calabria', 'Egypt', 'Cyprus', 'Arabia', 'Sicily', 'Mediterranean', 'Malta', 'Turkey']"
marlowe-the-massacre-at-paris,"['Germany', 'Paris', 'France', 'America', 'Rome', 'England', 'Poland']"
marmion-a-fine-companion,"['Thessaly', 'Europe', 'Greece', 'Paris', 'Parnassus', 'Algate']"
marmion-holland-s-leaguer,"['Iland', 'States', 'Sweden', 'Holland', 'Padua', 'South', 'England']"
marston-antonio-and-mellida,[]
